SNo,"Stock
Name",Uptrend,Downtrend,"  Entry 
Price","  Entry 
Date-Time"," Sell 
Price","  Sell 
Date-Time","  You can buy 
  these many 
    Shares","Time
Taken
Approx
"," Profit 
per-share"," Gross 
Profit"," Net 
Profit","Capital
Invested"," Net 
Profit","Capital
Gained",Timestamp
1,OLA,----------,📉,85.66,2-12-24 | 9:20,82.21,2-12-24 | 9:25,88,,3.45,304,278,1496,278,1778,12/8/2024 13:30:54
2,OLA,📈,----------,86.65,2-12-24 | 11:05,90.68,2-12-24 | 11:35,88,,4.03,355,329,1496,329,1829,12/8/2024 13:32:10
3,OLA,📈,----------,94.56,3-12-24 | 10:10,100.33,3-12-24 | 10:30,79,,5.77,456,430,1501,430,1930,12/8/2024 13:33:11
4,OLA,📈,----------,99.26,3-12-24 | 2:00,101.16,3-12-24 | 2:05,75,,1.9,142,116,1500,116,1616,12/8/2024 13:33:44
5,OLA,📈,----------,100.11,4-12-24 | 9:25,101.82,4-12-24 | 9:45,75,,1.71,128,102,1500,102,1602,12/8/2024 13:34:10
6,OLA,----------,📉,98.14,5-12-24 | 9:20,95.83,5-12-24 | 9:25,75,,2.31,173,147,1500,147,1647,12/8/2024 13:35:46
7,OLA,📈,----------,96.8,5-12-24 | 10:10,99.24,5-12-24 | 10:55,79,,2.44,193,167,1501,167,1667,12/8/2024 13:37:25
8,IRFC,📈,----------,148.86,4-12-24 | 9:20,151.83,4-12-24 | 9:30,50,,2.97,149,123,1500,123,1623,12/8/2024 13:38:57
9,IRFC,📈,----------,152.72,6-12-24 | 10:45,159.1,6-12-24 | 11:10,48,,6.38,306,280,1488,280,1780,12/8/2024 13:39:25
10,MMTC,📈,----------,78.63,2-12-24 | 11:10,81.95,2-12-24 | 11:30,94,,3.32,312,286,1504,286,1786,12/8/2024 22:51:38
11,MMTC,📈,----------,80.58,6-12-24 | 9:20,85.2,6-12-24 | 9:55,94,,4.62,434,408,1504,408,1908,12/8/2024 13:40:28
12,RELIANCE POWER,----------,📉,38.44,2-12-24 | 9:20,37.58,2-12-24 | 9:25,188,,0.86,162,136,1504,136,1636,12/8/2024 13:41:16
13,ICFI,📈,----------,64.04,3-12-24 | 9:20,66.6,3-12-24 | 9:35,115,,2.56,294,268,1495,268,1768,12/8/2024 13:41:47
14,IFCI,📈,----------,65.56,6-12-24 | 10:45,67.05,6-12-24 | 11:00,115,,1.49,171,145,1495,145,1645,12/8/2024 13:42:13
15,Nykaa,📈,----------,166.61,10-12-24 | 9:20,173.44,10-12-24 | 9:45,45,,6.83,307,281,1485,281,1781,12/10/2024 18:52:52
16,Nykaa,----------,📉,172.31,10-12-24 | 12:25,171.32,10-12-24 | 12:50,44,,0.99,44,18,1496,18,1518,12/10/2024 18:54:04
17,Nykaa,📈,----------,172.03,10-12-24 | 1:25,173.71,10-12-24 | 2:15,44,,1.68,74,48,1496,48,1548,12/10/2024 18:56:14
18,OLA,📈,----------,93.25,10-12-24 | 9:25,94.96,10-12-24 | 9:55,79,,1.71,135,109,1501,109,1609,12/10/2024 18:58:10
19,IRFC,----------,📉,158.93,10-12-24 | 9:25,155.88,10-12-24 | 10:40,47,,3.05,143,117,1504,117,1617,12/10/2024 19:02:20
20,IFCI,----------,📉,66.2,10-12-24 | 9:20,65.06,10-12-24 | 10:40,115,,1.14,131,105,1495,105,1605,12/10/2024 19:03:30
21,IFCI,----------,📉,65.25,10-12-24 | 12:00,64.92,10-12-24 | 12:50,115,,0.33,38,12,1495,12,1512,12/10/2024 19:04:38
22,Nykaa,----------,📉,173.05,11-12-24 | 10:00,170,11-12-24 | 11:20,43,,3.05,131,105,1505,105,1605,12/11/2024 17:11:31
23,OLA,----------,📉,94.4,11-12-24 | 9:40,93.2,11-12-24 | 10:10,79,,1.2,95,69,1501,69,1569,12/11/2024 17:15:17
24,OLA,📈,----------,93.78,11-12-24 | 12:00,97.2,11-12-24 | 12:20,79,,3.42,270,244,1501,244,1744,12/11/2024 17:20:13
25,IRFC,📈,----------,158.58,11-12-24 | 10:00,160.61,11-12-24 | 10:15,47,,2.03,95,69,1504,69,1569,12/11/2024 17:23:23
26,IRFC,📈,----------,161.61,11-12-24 | 10:40,164.14,11-12-24 | 11:10,47,,2.53,119,93,1504,93,1593,12/11/2024 17:24:29
27,MMTC,----------,📉,82.24,11-12-24 | 2:25,81.51,11-12-24 | 2:55,94,,0.73,69,43,1504,43,1543,12/11/2024 17:28:11
28,General Insurance,📈,----------,474,26-12-24 9:30 AM,512,26-12-24 10:00 AM,14,,38,532,506,1330,506,1806,12/26/2024 16:11:45
29,General Insurance,----------,📉,497,26-12-24 10:30 AM,485,26-12-24 11:00 AM,13,,12,156,130,1287,130,1430,12/26/2024 16:16:28
30,General Insurance,📈,----------,450,20-12-24 9:45 AM,464,20-12-24 10:00:00 AM,14,,14,196,170,1260,170,1470,12/26/2024 17:00:55
31,General Insurance,📈,----------,432,16-12-24 9:20 AM,443,16-12-24 9:45 AM,15,,11,165,139,1290,139,1439,12/26/2024 17:13:01
32,General Insurance,📈,----------,443,18-12-24 9:20 AM,457,18-12-24 9:45:00 AM,15,,14,210,184,1335,184,1484,12/26/2024 17:15:06
33,Enviro Infra Engineers,📈,----------,322,26-12-24 11:20 AM,340,26-12-24 11:45 AM,20,,18,360,334,1280,334,1634,12/26/2024 18:20:01
34,Enviro Infra Engineers,----------,📉,340,26-12-24 1:45 PM,332,26-12-24 2:00 PM,19,,8,152,126,1292,126,1426,12/26/2024 18:21:26
35,Enviro Infra Engineers,📈,----------,314,23-12-24 11:20 AM,326,23-12-24 11:50:00 AM,21,,12,252,226,1323,226,1526,12/26/2024 18:24:41
36,Enviro Infra Engineers,----------,📉,319,23-12-24 10:10 AM,307,23-12-24 10:35 AM,20,,12,240,214,1280,214,1514,12/26/2024 18:27:48
37,Enviro Infra Engineers,----------,📉,327,20-12-24 1:56 PM,317,20-12-24 2:16 PM,20,,10,200,174,1300,174,1474,12/26/2024 18:29:02
38,Jammu & Kashmir Bank,📈,----------,98,26-12-24 9:20 AM,104,26-12-24 9:40 AM,65,,6,390,364,1300,364,1664,12/26/2024 18:33:42
